#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
"hendrixgames.com",suspend,false,false,"FediFence.Social",false
"hermit.cafe",suspend,false,false,"FediFence.Social",false
"hidamari.apartments",suspend,false,false,"FediFence.Social",false
"hitchhiker.social",suspend,false,false,"FediFence.Social",false
"honkwerx.tech",suspend,false,false,"FediFence.Social",false
"hornyjail.pro",suspend,false,false,"FediFence.Social",false
"husbandoism.life",suspend,false,false,"FediFence.Social",false
"husk.site",suspend,false,false,"FediFence.Social",false
"iamterminally.online",suspend,false,false,"FediFence.Social",false
"iddqd.social",suspend,false,false,"FediFence.Social",false
"ignorelist.com",suspend,false,false,"FediFence.Social",false
"ikbenpiraat.nl",suspend,false,false,"FediFence.Social",false
"inex.rocks",suspend,false,false,"FediFence.Social",false
"isesh.com",suspend,false,false,"FediFence.Social",false
"jeena.net",suspend,false,false,"FediFence.Social",false
"jir.moe",suspend,false,false,"FediFence.Social",false
"justicewarrior.social",suspend,false,false,"FediFence.Social",false
"jvpiter.net",suspend,false,false,"FediFence.Social",false
"kabuki.club",suspend,false,false,"FediFence.Social",false
"karjalazet.se",suspend,false,false,"FediFence.Social",false
"khajiit.tech",suspend,false,false,"FediFence.Social",false
"kitsunemimi.club",suspend,false,false,"FediFence.Social",false
"kiwifarms.cc",suspend,false,false,"FediFence.Social",false
"kompost.cz",suspend,false,false,"FediFence.Social",false
"kotobank.ch",suspend,false,false,"FediFence.Social",false
"kurosawa.moe",suspend,false,false,"FediFence.Social",false
"lain.com",suspend,false,false,"FediFence.Social",false
"lain.gay",suspend,false,false,"FediFence.Social",false
"lain.sh",suspend,false,false,"FediFence.Social",false
"lainchan.gay",suspend,false,false,"FediFence.Social",false
"leadslinger.org",suspend,false,false,"FediFence.Social",false
"leafposter.club",suspend,false,false,"FediFence.Social",false
"leftychan.net",suspend,false,false,"FediFence.Social",false
"liberal.city",suspend,false,false,"FediFence.Social",false
"liberdon.com",suspend,false,false,"FediFence.Social",false
"libertynode.net",suspend,false,false,"FediFence.Social",false
"librosphere.fr",suspend,false,false,"FediFence.Social",false
"lightlyseared.online",suspend,false,false,"FediFence.Social",false
"lightnovel-dungeon.de",suspend,false,false,"FediFence.Social",false
"ligma.pro",suspend,false,false,"FediFence.Social",false
"lizards.live",suspend,false,false,"FediFence.Social",false
"loli.best",suspend,false,false,"FediFence.Social",false
"lolison.top",suspend,false,false,"FediFence.Social",false
"lord.re",suspend,false,false,"FediFence.Social",false
"lovingexpressions.net",suspend,false,false,"FediFence.Social",false
"lyrenhex.com",suspend,false,false,"FediFence.Social",false
"ma.jameuwu.com",suspend,false,false,"FediFence.Social",false
"macsnet.cz",suspend,false,false,"FediFence.Social",false
"maneisacutie.club",suspend,false,false,"FediFence.Social",false
"masochi.st",suspend,false,false,"FediFence.Social",false
"mastodon.ml",suspend,false,false,"FediFence.Social",false
"mastodon.tech",suspend,false,false,"FediFence.Social",false
"mastodong.lol",suspend,false,false,"FediFence.Social",false
"merovingian.club",suspend,false,false,"FediFence.Social",false
"milker.cafe",suspend,false,false,"FediFence.Social",false
"miniwa.moe",suspend,false,false,"FediFence.Social",false
"mirr0r.city",suspend,false,false,"FediFence.Social",false
"misskey-forkbomb.cf",suspend,false,false,"FediFence.Social",false
"moe.cachapa.xyz",suspend,false,false,"FediFence.Social",false
"mooo.com",suspend,false,false,"FediFence.Social",false
"mr64.net",suspend,false,false,"FediFence.Social",false
"mrhands.horse",suspend,false,false,"FediFence.Social",false
"mugicha.club",suspend,false,false,"FediFence.Social",false
"muh.wang",suspend,false,false,"FediFence.Social",false
"myopic.one",suspend,false,false,"FediFence.Social",false
"nanovim.tk",suspend,false,false,"FediFence.Social",false
"narrativerry.xyz",suspend,false,false,"FediFence.Social",false
"natehiggers.online",suspend,false,false,"FediFence.Social",false
"nationaljustice.social",suspend,false,false,"FediFence.Social",false
"netzsphaere.xyz",suspend,false,false,"FediFence.Social",false
"nicecrew.digital",suspend,false,false,"FediFence.Social",false
"nightshift.social",suspend,false,false,"FediFence.Social",false
"nikotile.xyz",suspend,false,false,"FediFence.Social",false
"noagendasocial.com",suspend,false,false,"FediFence.Social",false
"nobodyhasthe.biz",suspend,false,false,"FediFence.Social",false
"normie.cafe",suspend,false,false,"FediFence.Social",false
"novo-atlantis.null.media",suspend,false,false,"FediFence.Social",false
"office.dtzbts.xyz",suspend,false,false,"FediFence.Social",false
"outerheaven.club",suspend,false,false,"FediFence.Social",false
"outpoa.st",suspend,false,false,"FediFence.Social",false
"pawlicker.com",suspend,false,false,"FediFence.Social",false
"paws.moe",suspend,false,false,"FediFence.Social",false
"pieville.net",suspend,false,false,"FediFence.Social",false
"pirateradio.social",suspend,false,false,"FediFence.Social",false
"pixificial.xyz",suspend,false,false,"FediFence.Social",false
"pleroma-in.ouda.space",suspend,false,false,"FediFence.Social",false
"plma.plus.st",suspend,false,false,"FediFence.Social",false
"poa.st",suspend,false,false,"FediFence.Social",false
"podcastindex.social",suspend,false,false,"FediFence.Social",false
"polaris-1.work",suspend,false,false,"FediFence.Social",false
"posix.gay",suspend,false,false,"FediFence.Social",false
"post.ebin.club",suspend,false,false,"FediFence.Social",false
"poster.place",suspend,false,false,"FediFence.Social",false
"posting.lolicon.rocks",suspend,false,false,"FediFence.Social",false
"privex.social",suspend,false,false,"FediFence.Social",false
"prsm.space",suspend,false,false,"FediFence.Social",false
"ps.m0n5t3r.info",suspend,false,false,"FediFence.Social",false
"pub.killrobot.com",suspend,false,false,"FediFence.Social",false
"rageparty.club",suspend,false,false,"FediFence.Social",false
"rapefeminists.network",suspend,false,false,"FediFence.Social",false
"rapemeat.solutions",suspend,false,false,"FediFence.Social",false
"rapist.town",suspend,false,false,"FediFence.Social",false
"rdrama.cc",suspend,false,false,"FediFence.Social",false
"real.dogsex.org",suspend,false,false,"FediFence.Social",false
"rebased.io",suspend,false,false,"FediFence.Social",false
"redstateliberal.social",suspend,false,false,"FediFence.Social",false
"refusal.biz",suspend,false,false,"FediFence.Social",false
"refuse2.work",suspend,false,false,"FediFence.Social",false
"repl.co",suspend,false,false,"FediFence.Social",false
"riddly.rakka.tk",suspend,false,false,"FediFence.Social",false
"rojogato.com",suspend,false,false,"FediFence.Social",false
"ryona.agency",suspend,false,false,"FediFence.Social",false
"sad.cab",suspend,false,false,"FediFence.Social",false
"sakamoto.gq",suspend,false,false,"FediFence.Social",false
