domain,block_type,reject_media,reject_reports,private_comment,public_comment,obfuscate
"dotsod.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"duwa.ng",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"eaku.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"eatthebugs.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"eeeeeeeee.eu",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"el-spot.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"elementality.org",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"enes.lv",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"eveningzoo.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"fandom.community",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"fans.sonichu.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"fbxl.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"fedihams.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"fediverse-lite.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"fimidi.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"fluf.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"foxfam.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"fr13nd5.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"freak.university",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"freecumextremist.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"freesoftwareextremist.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"freespeech.group",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"freespeechextremist.com",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"freethinkers.lgbt",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"frens.mahodou.moe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"fuwa.pink",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"gameliberty.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"gamers.exposed",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"gearlandia.haus",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"genderheretics.xyz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"geofront.rocks",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"ghetti.monster",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"gigaohm.bio",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"girevik.su",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"gleasonator.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"glitch.gray.cafe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"glitchbird.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"glownow.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"gnu.moe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"gorf.pub",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"gorf.space",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"gothloli.club",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"goyslop.cafe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"gravure.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"guizzyordi.info",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"handholding.io",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"hello.2heng.xin",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"hendrixgames.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"hermit.cafe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"hidamari.apartments",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"hitchhiker.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"honkwerx.tech",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"hornyjail.pro",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"husbandoism.life",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"husk.site",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"iamterminally.online",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"iddqd.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"ignorelist.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"ikbenpiraat.nl",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"inex.rocks",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"isesh.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"jeena.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"jir.moe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"justicewarrior.social",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"jvpiter.net",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"kabuki.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"karjalazet.se",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"khajiit.tech",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"kitsunemimi.club",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"kiwifarms.cc",suspend,FALSE,FALSE,"Tier0_2022-12-01","FediFence.Social",FALSE
"kompost.cz",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"kotobank.ch",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"kurosawa.moe",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"lain.com",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
"lain.gay",suspend,FALSE,FALSE,"Tier1_2022-12-01","FediFence.Social",FALSE
